Field	FieldLength	StartChar	EndChar
Record	2	1	2
WhiteLast	50	3	52
WhiteFirst	25	53	77
WhiteElo	4	78	81
BlackLast	50	82	131
BlackFirst	25	132	156
BlackElo	4	157	160
ECO	3	161	163
GameDate	10	164	173
Tournament	50	174	223
RoundNum	7	224	230
Result	3	231	233
Moves	3	234	236
CorrFlag	1	237	237
Source	15	238	252
SourceID	20	253	272
TimeControl	15	273	287
